"","Var1","Var2","Freq"
"1","","county_fips_code","Min.   : 1001  "
"2","","county_fips_code","1st Qu.:18178  "
"3","","county_fips_code","Median :29176  "
"4","","county_fips_code","Mean   :30384  "
"5","","county_fips_code","3rd Qu.:45081  "
"6","","county_fips_code","Max.   :56045  "
"7","","county_fips_code",NA
"8","","county_name","Length:3142       "
"9","","county_name","Class :character  "
"10","","county_name","Mode  :character  "
"11","","county_name",NA
"12","","county_name",NA
"13","","county_name",NA
"14","","county_name",NA
"15","","   state","Length:3142       "
"16","","   state","Class :character  "
"17","","   state","Mode  :character  "
"18","","   state",NA
"19","","   state",NA
"20","","   state",NA
"21","","   state",NA
"22","","state_fips_code","Min.   : 1.00  "
"23","","state_fips_code","1st Qu.:18.00  "
"24","","state_fips_code","Median :29.00  "
"25","","state_fips_code","Mean   :30.28  "
"26","","state_fips_code","3rd Qu.:45.00  "
"27","","state_fips_code","Max.   :56.00  "
"28","","state_fips_code",NA
"29","","    date","Length:3142       "
"30","","    date","Class :character  "
"31","","    date","Mode  :character  "
"32","","    date",NA
"33","","    date",NA
"34","","    date",NA
"35","","    date",NA
"36","","confirmed_cases.V1","Min.   :-0.26900  "
"37","","confirmed_cases.V1","1st Qu.:-0.24067  "
"38","","confirmed_cases.V1","Median :-0.20080  "
"39","","confirmed_cases.V1","Mean   : 0.00000  "
"40","","confirmed_cases.V1","3rd Qu.:-0.09267  "
"41","","confirmed_cases.V1","Max.   :35.41138  "
"42","","confirmed_cases.V1",""
"43","","     deaths.V1     ","Min.   :-0.259589  "
"44","","     deaths.V1     ","1st Qu.:-0.234634  "
"45","","     deaths.V1     ","Median :-0.195121  "
"46","","     deaths.V1     ","Mean   : 0.000000  "
"47","","     deaths.V1     ","3rd Qu.:-0.099460  "
"48","","     deaths.V1     ","Max.   :28.721776  "
"49","","     deaths.V1     ",""
"50","","    geo_id","Min.   : 1001  "
"51","","    geo_id","1st Qu.:18178  "
"52","","    geo_id","Median :29176  "
"53","","    geo_id","Mean   :30384  "
"54","","    geo_id","3rd Qu.:45081  "
"55","","    geo_id","Max.   :56045  "
"56","","    geo_id",NA
"57","","nonfamily_households","Min.   :     12  "
"58","","nonfamily_households","1st Qu.:   1393  "
"59","","nonfamily_households","Median :   3168  "
"60","","nonfamily_households","Mean   :  12898  "
"61","","nonfamily_households","3rd Qu.:   8495  "
"62","","nonfamily_households","Max.   :1091276  "
"63","","nonfamily_households",NA
"64","","family_households","Min.   :     15  "
"65","","family_households","1st Qu.:   2827  "
"66","","family_households","Median :   6604  "
"67","","family_households","Mean   :  24920  "
"68","","family_households","3rd Qu.:  17211  "
"69","","family_households","Max.   :2203922  "
"70","","family_households",NA
